City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,de aar,-30.6497,24.0123,22.9,40,4,4.39,ZA,1675469472
300,monze,-16.2833,27.4833,17.93,95,79,1.3,ZM,1675469472
301,padang,-0.9492,100.3543,22.03,81,100,1.64,ID,1675469473
302,ahuimanu,21.4447,-157.8378,26.53,82,75,4.63,US,1675469473
303,buluang,13.3068,123.3425,25.22,79,98,2.35,PH,1675469474
304,korla,41.7597,86.1469,-4.72,66,15,1.41,CN,1675469475
305,jalu,29.0331,21.5482,13.05,47,100,2.78,LY,1675469476
306,bennettsville,34.6174,-79.6848,8.1,60,0,2.06,US,1675469476
307,qrendi,35.8347,14.4583,7.81,87,20,2.57,MT,1675469476
308,kalmunai,7.4167,81.8167,23.8,88,28,1.86,LK,1675469477
309,surt,31.2089,16.5887,13.89,67,38,3.53,LY,1675469478
310,port blair,11.6667,92.75,25.23,82,24,3.11,IN,1675469478
311,abalak,58.1286,68.5944,-19.0,99,83,1.24,RU,1675469478
312,forest acres,34.0193,-80.9898,8.86,45,0,3.09,US,1675469479
313,barreiras,-12.1528,-44.99,24.01,80,66,0.5,BR,1675469196
314,brwinow,52.1427,20.717,-0.08,93,75,5.14,PL,1675469481
315,sindor,62.8629,51.8905,-8.74,97,100,0.64,RU,1675469481
316,hobyo,5.3505,48.5268,23.98,70,32,8.67,SO,1675469183
317,alice,27.7523,-98.0697,14.17,62,0,3.09,US,1675469484
318,biggar,55.6167,-3.5167,8.88,95,72,2.95,GB,1675469484
319,husavik,66.0449,-17.3389,2.4,70,100,7.38,IS,1675469484
320,saquena,-4.6667,-73.5167,23.27,89,81,1.11,PE,1675469485
321,alofi,-19.0595,-169.9187,24.22,85,100,7.94,NU,1675469486
322,bell ville,-32.6259,-62.6887,21.48,63,54,2.43,AR,1675469486
323,cap malheureux,-19.9842,57.6142,24.15,87,9,0.45,MU,1675469487
324,hokitika,-42.7167,170.9667,20.57,87,100,1.23,NZ,1675469488
325,sligo,54.2697,-8.4694,8.67,88,99,4.96,IE,1675469488
326,vostok,46.4856,135.8833,-18.94,92,96,1.44,RU,1675469489
327,dunda,-8.1167,34.25,18.05,98,100,1.46,TZ,1675469490
328,chimbote,-9.0853,-78.5783,22.04,83,98,3.08,PE,1675469490
329,kushiro,42.975,144.3747,-8.13,76,15,1.41,JP,1675469490
330,kayseri,38.737,35.4968,-4.99,86,75,0.0,TR,1675469491
331,altay,47.8667,88.1167,-7.57,68,93,2.35,CN,1675469492
332,kununurra,-15.7667,128.7333,27.99,74,88,1.54,AU,1675469485
333,byron bay,-28.65,153.6167,28.3,64,83,5.4,AU,1675469492
334,pirajui,-21.9986,-49.4572,21.45,93,100,1.33,BR,1675469493
335,bairiki,1.3292,172.9752,27.41,79,55,8.7,KI,1675469493
336,meulaboh,4.1363,96.1285,24.39,87,95,1.54,ID,1675469493
337,port moresby,-9.4431,147.1797,25.78,88,97,6.7,PG,1675469494
